,Number of returns,Number of exemptions,,Adjusted Gross Income,Salaries and Wages,,Taxable Interest,,Total Tax,,Schedule C Net Profit/Loss,Schedule F Net Profit/Loss,Total Itemized Deductions
ZIP Code  & ,,Total,Dependent Exemptions,,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Number of returns,Number of returns
Size of Adjusted,,,,,,,,,,,,,
Gross Income,(1),(2),(3),(4),(5),(6),(7),(8),(34),(35),(13),(15),(21)
,,,,,,,,,,,,,
"$50,000 under $75,000",941,"3,179","1,633","56,000",924,"52,562",418,307,853,"3,586",72,0,454
"$75,000 under $100,000",184,637,307,"15,595",179,"14,075",110,50,182,"1,468",27,0,117
"$100,000 or more     ",85,240,98,"19,062",71,"9,523",64,469,85,"3,678",10,0,66
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90024,"15,403","23,561","4,029","2,765,832","10,924","1,263,614","9,898","163,276","12,741","625,029","3,719",24,"7,935"
"Under $10,000        ","3,022","3,464",221,"-166,085","1,704","16,405","1,297","9,143","1,088","1,177",641,*         ,287
"$10,000 under $25,000","2,301","2,794",268,"39,260","1,684","27,740","1,035","3,264","1,830","2,369",480,0,507
"$25,000 under $50,000","2,662","3,500",459,"98,408","2,061","70,513","1,452","5,009","2,498","9,146",608,0,974
"$50,000 under $75,000","1,837","2,708",467,"112,842","1,408","77,068","1,247","5,463","1,793","13,699",409,*         ,"1,087"
"$75,000 under $100,000","1,230","1,955",329,"106,448",944,"68,720",945,"4,836","1,206","14,052",269,0,976
"$100,000 or more     ","4,351","9,140","2,285","2,574,959","3,123","1,003,168","3,922","135,561","4,326","584,586","1,312",24,"4,104"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90025,"24,068","37,172","7,447","3,221,201","19,497","1,962,185","13,457","134,903","20,349","684,387","6,013",12,"10,218"
"Under $10,000        ","3,782","4,601",485,"-114,110","2,174","18,567","1,458","6,218","1,474","1,512","1,167",0,297
"$10,000 under $25,000","4,367","6,264","1,352","75,044","3,424","56,094","1,596","2,997","3,413","4,580","1,112",0,655
"$25,000 under $50,000","5,804","8,267","1,560","213,009","5,059","176,341","2,759","5,300","5,461","20,064","1,173",*         ,"1,665"
"$50,000 under $75,000","3,615","5,354",965,"221,363","3,186","180,355","2,235","5,172","3,536","27,556",741,0,"1,895"
"$75,000 under $100,000","1,951","3,303",684,"168,328","1,703","130,619","1,413","4,571","1,934","22,596",473,0,"1,485"
"$100,000 or more     ","4,549","9,383","2,401","2,657,567","3,951","1,400,209","3,996","110,645","4,531","608,079","1,347",12,"4,221"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90026,"27,528","52,678","18,614","961,194","23,472","778,490","8,236","10,213","19,414","101,537","6,581",*         ,"6,578"
"Under $10,000        ","5,708","8,204","1,922","19,453","3,704","22,691","1,040",826,"2,464","1,616","2,094",0,191
"$10,000 under $25,000","9,182","18,647","7,641","157,064","8,006","132,033","1,611","1,384","5,713","6,415","1,923",0,850
"$25,000 under $50,000","7,572","15,680","6,087","266,946","7,096","241,203","2,335","2,062","6,267","18,247","1,295",*         ,"2,011"
"$50,000 under $75,000","2,637","5,276","1,676","160,064","2,461","141,232","1,408","1,727","2,547","16,526",544,0,"1,419"
"$75,000 under $100,000","1,048","2,088",585,"89,850",969,"75,301",680,990,"1,045","10,826",266,0,827
"$100,000 or more     ","1,381","2,783",703,"267,817","1,236","166,030","1,162","3,224","1,378","47,907",459,*         ,"1,280"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90027,"21,992","35,296","8,133","1,224,653","18,075","828,037","8,869","28,085","17,581","193,627","6,356",*         ,"6,830"
"Under $10,000        ","4,472","5,903",899,"-1,089","2,830","18,855","1,038","1,461","1,894","1,083","1,713",0,171
"$10,000 under $25,000","5,652","9,248","2,530","96,573","4,780","76,884","1,449","1,934","4,327","5,121","1,576",0,646
"$25,000 under $50,000","5,690","9,132","2,290","205,818","5,166","175,641","2,088","3,206","5,251","17,598","1,335",0,"1,548"
"$50,000 under $75,000","2,601","4,227",906,"158,061","2,315","129,673","1,426","2,706","2,556","18,966",657,*         ,"1,333"
"$75,000 under $100,000","1,240","2,125",435,"106,661","1,095","84,541",846,"2,008","1,228","14,316",313,0,953
"$100,000 or more     ","2,337","4,661","1,073","658,629","1,889","342,443","2,022","16,770","2,325","136,543",762,*         ,"2,179"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90028,"12,736","19,766","4,953","396,633","11,126","317,543","2,935","5,056","9,634","46,003","3,433",0,"2,314"
"Under $10,000        ","3,066","3,901",589,"10,402","2,145","13,113",468,286,"1,340",712,"1,216",0,89
"$10,000 under $25,000","4,424","7,128","2,093","76,123","3,989","66,130",723,618,"3,401","3,999","1,072",0,399
"$25,000 under $50,000","3,539","5,859","1,637","123,710","3,398","114,765",872,857,"3,200","10,084",709,0,815
"$50,000 under $75,000",988,"1,659",390,"59,482",950,"54,299",414,386,977,"7,055",229,0,447
"$75,000 under $100,000",344,596,132,"29,345",324,"25,693",187,418,342,"4,171",86,0,240
"$100,000 or more     ",375,623,112,"97,571",320,"43,543",271,"2,491",374,"19,982",121,0,324
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90029,"14,958","29,702","11,202","384,426","12,451","327,268","3,145","3,814","10,268","30,025","3,693",0,"2,481"
"Under $10,000        ","3,670","5,476","1,425","14,261","2,224","13,155",397,398,"1,860","1,196","1,562",0,81
"$10,000 under $25,000","5,788","11,931","5,000","97,999","5,049","83,394",802,607,"3,672","4,107","1,280",0,422
"$25,000 under $50,000","3,895","8,535","3,419","135,166","3,708","124,901","1,018","1,049","3,165","8,201",535,0,954
"$50,000 under $75,000",961,"2,272",868,"57,841",900,"50,768",469,804,929,"5,363",171,0,498
"$75,000 under $100,000",325,733,238,"27,798",297,"23,202",203,276,323,"3,095",74,0,240
"$100,000 or more     ",319,755,252,"51,361",273,"31,848",256,680,319,"8,063",71,0,286
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90030,133,276,127,"5,396",113,"4,346",34,4,98,419,21,0,54
"Under $10,000        ",15,19,4,67,*         ,*              ,0,0,*         ,*              ,*         ,0,0
"$10,000 under $25,000",41,88,45,689,40,551,*         ,*              ,28,34,21,0,*         
"$25,000 under $50,000",41,83,38,"1,562",41,"1,643",16,2,34,102,*         ,0,24
"$50,000 under $75,000",24,57,30,"1,437",32,"2,152",18,2,24,109,0,0,18
"$75,000 under $100,000",12,29,10,"1,641",*         ,*              ,*         ,*              ,12,174,*         ,0,12
"$100,000 or more     ",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,0,0,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
