,Number of returns,Number of exemptions,,Adjusted Gross Income,Salaries and Wages,,Taxable Interest,,Total Tax,,Schedule C Net Profit/Loss,Schedule F Net Profit/Loss,Total Itemized Deductions
ZIP Code  & ,,Total,Dependent Exemptions,,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Number of returns,Number of returns
Size of Adjusted,,,,,,,,,,,,,
Gross Income,(1),(2),(3),(4),(5),(6),(7),(8),(34),(35),(13),(15),(21)
,,,,,,,,,,,,,
"Under $10,000        ",20,24,3,105,15,71,*         ,*              ,*         ,*              ,*         ,0,0
"$10,000 under $25,000",65,135,47,"1,051",50,678,21,41,46,42,19,0,16
"$25,000 under $50,000",51,120,41,"1,784",43,"1,437",18,20,41,94,*         ,*         ,*         
"$50,000 under $75,000",29,76,23,"1,727",20,"1,004",14,72,37,225,*         ,0,20
"$75,000 under $100,000",10,26,6,812,16,"1,388",17,20,*         ,*              ,*         ,0,*         
"$100,000 or more     ",11,29,8,"1,362",*         ,*              ,*         ,*              ,11,186,0,0,10
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96091,293,540,94,"11,595",156,"4,036",193,429,222,"1,167",64,0,95
"Under $10,000        ",55,80,9,30,22,80,25,10,15,9,18,0,*         
"$10,000 under $25,000",79,130,28,"1,283",41,660,39,61,59,51,13,0,19
"$25,000 under $50,000",82,165,34,"2,925",50,"1,317",57,158,72,202,20,0,32
"$50,000 under $75,000",29,62,11,"1,713",16,587,27,66,28,155,*         ,0,16
"$75,000 under $100,000",30,61,5,"2,556",15,551,28,80,30,305,13,0,16
"$100,000 or more     ",18,42,7,"3,088",12,841,17,54,18,445,*         ,0,12
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96092,239,500,160,"8,493",184,"5,615",79,232,148,"1,105",22,31,37
"Under $10,000        ",68,104,23,-224,30,167,15,18,*         ,*              ,10,17,11
"$10,000 under $25,000",61,114,38,"1,056",54,829,10,7,48,45,*         ,*         ,*         
"$25,000 under $50,000",63,141,47,"2,191",56,"1,728",20,21,54,143,12,*         ,*         
"$50,000 under $75,000",25,81,35,"1,585",25,"1,369",24,4,24,138,*         ,14,14
"$75,000 under $100,000",10,29,10,801,19,"1,522",*         ,*              ,10,89,*         ,*         ,12
"$100,000 or more     ",12,31,7,"3,084",*         ,*              ,10,182,12,690,*         ,*         ,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96093,"1,943","3,993","1,200","76,986","1,453","47,613",998,"1,793","1,438","7,856",401,*         ,623
"Under $10,000        ",411,562,105,995,285,"1,559",132,139,128,66,76,0,29
"$10,000 under $25,000",483,867,254,"8,396",347,"5,260",172,236,338,374,88,0,77
"$25,000 under $50,000",514,"1,141",386,"18,285",404,"12,533",263,335,449,"1,304",103,*         ,150
"$50,000 under $75,000",273,685,210,"16,859",210,"10,664",209,307,262,"1,531",65,*         ,153
"$75,000 under $100,000",145,426,151,"12,502",119,"8,540",118,309,144,"1,226",29,0,110
"$100,000 or more     ",117,312,94,"19,949",88,"9,057",104,467,117,"3,355",40,*         ,104
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96094,"2,542","5,179","1,446","107,463","1,951","63,452","1,254","3,291","1,864","11,395",496,19,836
"Under $10,000        ",550,807,183,"1,421",400,"2,218",154,170,159,64,103,*         ,29
"$10,000 under $25,000",644,"1,148",321,"10,849",467,"7,089",221,369,444,447,101,0,102
"$25,000 under $50,000",629,"1,369",393,"22,955",501,"16,131",346,570,553,"1,407",123,*         ,217
"$50,000 under $75,000",397,"1,037",327,"24,462",326,"16,892",276,591,386,"2,103",89,19,229
"$75,000 under $100,000",172,449,129,"14,669",137,"9,557",124,452,172,"1,538",29,*         ,120
"$100,000 or more     ",150,369,93,"33,107",120,"11,565",133,"1,139",150,"5,836",51,*         ,139
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96096,325,692,175,"15,628",238,"9,228",206,235,249,"1,638",62,25,138
"Under $10,000        ",56,84,12,12,34,205,24,10,11,2,*         ,*         ,*         
"$10,000 under $25,000",66,121,32,"1,121",45,729,30,38,44,54,16,*         ,16
"$25,000 under $50,000",88,189,47,"3,271",66,"2,262",59,62,80,244,29,25,37
"$50,000 under $75,000",55,133,37,"3,313",43,"2,121",41,62,54,248,*         ,*         ,36
"$75,000 under $100,000",27,67,14,"2,304",21,"1,416",22,21,27,254,17,0,19
"$100,000 or more     ",33,98,33,"5,607",29,"2,495",30,42,33,836,*         ,*         ,30
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96097,"4,288","8,616","2,471","159,196","3,277","101,595","2,153","4,614","3,121","16,295",756,60,"1,196"
"Under $10,000        ",931,"1,399",319,"1,242",668,"3,947",278,419,281,150,147,21,46
"$10,000 under $25,000","1,156","2,045",562,"19,476",854,"13,333",389,532,791,740,145,11,153
"$25,000 under $50,000","1,113","2,362",749,"39,934",903,"28,792",589,971,974,"2,690",199,*         ,319
"$50,000 under $75,000",555,"1,392",415,"33,922",433,"22,509",422,707,543,"3,042",123,17,278
"$75,000 under $100,000",275,730,220,"23,531",227,"15,315",237,542,274,"2,572",65,*         ,184
"$100,000 or more     ",258,688,206,"41,091",192,"17,699",238,"1,443",258,"7,101",77,11,216
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96099,"1,404","2,473",607,"91,446","1,109","46,204",615,"2,321","1,075","15,893",293,10,508
"Under $10,000        ",273,378,71,-322,188,"1,179",60,52,84,82,65,0,22
"$10,000 under $25,000",383,614,164,"6,573",299,"4,837",101,147,275,303,54,10,49
"$25,000 under $50,000",338,589,155,"12,103",287,"9,135",139,179,308,991,61,0,114
"$50,000 under $75,000",167,325,76,"9,977",139,"7,234",101,64,165,983,40,*         ,101
"$75,000 under $100,000",69,154,39,"5,958",60,"4,310",56,63,69,706,16,0,59
"$100,000 or more     ",174,413,102,"57,157",136,"19,509",158,"1,816",174,"12,828",57,*         ,163
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96101,"2,150","4,440","1,259","78,841","1,697","52,014",911,"1,825","1,553","7,978",425,98,442
"Under $10,000        ",469,702,151,-257,345,"1,707",114,129,144,59,82,19,16
"$10,000 under $25,000",608,"1,120",315,"10,269",471,"7,311",193,257,411,382,102,12,54
"$25,000 under $50,000",510,"1,133",341,"18,457",402,"12,912",221,335,447,"1,201",95,23,102
"$50,000 under $75,000",298,769,241,"17,931",257,"12,631",183,284,290,"1,636",75,31,108
"$75,000 under $100,000",151,410,120,"13,079",137,"10,410",107,200,147,"1,409",31,*         ,77
"$100,000 or more     ",114,306,91,"19,362",85,"7,043",93,620,114,"3,291",40,13,85
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96103,881,"1,613",237,"53,261",525,"20,643",617,"1,841",716,"6,784",242,*         ,439
"Under $10,000        ",150,203,21,340,83,446,65,102,45,39,41,0,13
"$10,000 under $25,000",162,242,25,"2,771",81,"1,142",99,224,116,116,30,0,51
"$25,000 under $50,000",184,319,40,"6,818",110,"2,994",126,367,172,542,54,*         ,93
"$50,000 under $75,000",160,349,67,"9,924",103,"4,346",125,256,159,940,43,*         ,97
"$75,000 under $100,000",86,209,49,"7,487",57,"3,339",72,252,86,778,27,0,65
"$100,000 or more     ",139,291,35,"25,921",91,"8,376",130,640,138,"4,369",47,0,120
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96104,349,678,171,"11,011",244,"7,752",189,505,263,"1,247",74,61,72
"Under $10,000        ",86,129,18,-847,49,409,38,61,30,28,18,24,16
"$10,000 under $25,000",87,174,51,"1,537",60,865,39,109,67,86,21,26,*         
"$25,000 under $50,000",82,162,43,"2,994",63,"1,925",48,152,73,246,18,*         ,18
"$50,000 under $75,000",59,120,24,"3,635",44,"2,488",41,117,58,402,17,11,20
"$75,000 under $100,000",20,50,21,"1,721",16,"1,023",10,3,20,218,*         ,0,18
"$100,000 or more     ",15,43,14,"1,971",12,"1,042",13,63,15,267,0,0,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96105,218,468,138,"9,649",183,"7,491",88,58,174,887,47,*         ,88
"Under $10,000        ",29,40,6,122,20,81,*         ,*              ,*         ,*              ,12,0,12
"$10,000 under $25,000",53,92,24,906,43,720,21,36,44,43,*         ,*         ,*         
"$25,000 under $50,000",52,108,31,"1,908",45,"1,574",20,5,49,114,22,*         ,22
"$50,000 under $75,000",42,109,40,"2,515",37,"1,951",22,7,39,235,*         ,*         ,21
"$75,000 under $100,000",31,91,30,"2,645",38,"3,165",25,10,31,249,13,*         ,23
"$100,000 or more     ",11,28,7,"1,553",*         ,*              ,*         ,*              ,11,246,*         ,0,10
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96106,233,437,56,"21,171",118,"4,928",181,828,193,"2,924",61,0,144
"Under $10,000        ",33,42,7,49,19,73,14,18,13,9,*         ,0,0
"$10,000 under $25,000",35,66,12,554,13,143,24,70,25,26,18,0,11
"$25,000 under $50,000",42,80,14,"1,597",23,736,31,109,36,88,10,0,24
"$50,000 under $75,000",34,65,5,"2,094",17,669,30,81,33,176,16,0,24
"$75,000 under $100,000",28,53,4,"2,470",17,"1,019",25,50,26,265,*         ,0,26
"$100,000 or more     ",61,131,14,"14,407",29,"2,288",57,500,60,"2,360",17,0,59
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96107,461,978,261,"17,292",353,"11,763",216,276,343,"1,443",68,*         ,130
"Under $10,000        ",79,125,31,182,53,315,29,18,28,13,15,*         ,*         
"$10,000 under $25,000",118,215,50,"2,050",93,"1,432",41,70,79,61,12,0,19
"$25,000 under $50,000",138,312,89,"5,006",115,"3,827",57,49,111,300,31,*         ,37
"$50,000 under $75,000",70,187,62,"4,362",52,"2,908",43,75,69,352,*         ,0,35
"$75,000 under $100,000",39,101,25,"3,359",40,"3,281",31,30,39,388,10,0,26
"$100,000 or more     ",17,38,4,"2,333",*         ,*              ,15,34,17,329,*         ,0,13
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96108,47,90,17,"1,029",26,678,19,14,31,80,*         ,*         ,*         
"Under $10,000        ",22,35,8,-241,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*         ,0
"$10,000 under $25,000",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,0,0,0
"$25,000 under $50,000",14,26,2,508,26,678,19,14,21,31,0,*         ,*         
"$50,000 under $75,000",11,29,7,762,*         ,*              ,*         ,*              ,10,49,*         ,0,0
"$75,000 under $100,000",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,0,0,0
"$100,000 or more     ",0,0,0,0,0,0,0,0,0,0,0,0,0
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96109,339,725,237,"12,673",279,"9,308",130,101,247,"1,070",47,*         ,90
"Under $10,000        ",51,82,24,-17,35,242,15,5,14,4,14,*         ,0
"$10,000 under $25,000",90,177,61,"1,552",72,"1,178",24,17,56,49,*         ,*         ,14
"$25,000 under $50,000",105,221,81,"3,905",93,"3,194",35,9,87,259,13,*         ,30
"$50,000 under $75,000",63,171,54,"3,812",55,"2,765",46,48,60,330,20,0,29
"$75,000 under $100,000",18,47,13,"1,557",24,"1,929",*         ,*              ,18,168,*         ,*         ,17
"$100,000 or more     ",12,27,4,"1,864",*         ,*              ,10,22,12,260,*         ,0,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96110,75,133,30,"1,868",45,873,34,73,52,151,16,*         ,*         
"Under $10,000        ",27,37,6,-101,24,185,14,12,*         ,*              ,16,*         ,0
"$10,000 under $25,000",15,20,3,248,*         ,*              ,*         ,*              ,21,20,*         ,0,0
"$25,000 under $50,000",19,47,16,718,21,688,20,61,18,52,*         ,*         ,*         
"$50,000 under $75,000",14,29,5,"1,003",*         ,*              ,*         ,*              ,13,79,*         ,0,*         
"$75,000 under $100,000",*         ,*         ,*         ,*              ,0,0,*         ,*              ,*         ,*              ,0,*         ,*         
"$100,000 or more     ",0,0,0,0,0,0,0,0,0,0,0,0,0
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96111,36,57,7,"1,402",30,984,13,0,32,108,*         ,0,12
"Under $10,000        ",*         ,*         ,*         ,*              ,*         ,*              ,0,0,*         ,*              ,0,0,0
"$10,000 under $25,000",23,27,2,485,19,394,*         ,*              ,20,35,*         ,0,0
"$25,000 under $50,000",*         ,*         ,*         ,*              ,*         ,*              ,13,0,*         ,*              ,*         ,0,12
"$50,000 under $75,000",13,30,5,917,11,590,*         ,*              ,12,73,*         ,0,*         
"$75,000 under $100,000",*         ,*         ,*         ,*              ,*         ,*              ,0,0,*         ,*              ,*         ,0,0
"$100,000 or more     ",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,0,0,0
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96112,76,149,44,"1,639",51,812,28,9,45,83,*         ,*         ,*         
"Under $10,000        ",22,33,5,36,13,54,*         ,*              ,*         ,*              ,*         ,*         ,0
"$10,000 under $25,000",30,57,19,514,23,255,28,9,25,22,*         ,*         ,*         
"$25,000 under $50,000",24,59,20,"1,089",15,503,*         ,*              ,20,61,*         ,*         ,*         
"$50,000 under $75,000",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,0,0,0
"$75,000 under $100,000",0,0,0,0,0,0,0,0,0,0,0,0,0
"$100,000 or more     ",*         ,*         ,*         ,*              ,0,0,0,0,0,0,0,0,0
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96113,440,916,287,"17,984",370,"14,674",163,136,358,"1,551",29,*         ,90
"Under $10,000        ",51,75,19,242,42,206,*         ,*              ,17,5,12,0,0
"$10,000 under $25,000",81,147,42,"1,445",54,891,33,22,55,48,*         ,0,*         
"$25,000 under $50,000",177,364,124,"6,644",151,"5,300",59,59,156,476,17,0,32
"$50,000 under $75,000",88,224,74,"5,359",80,"4,272",60,46,87,476,*         ,*         ,31
"$75,000 under $100,000",26,62,15,"2,226",26,"2,104",*         ,*              ,26,265,0,0,13
"$100,000 or more     ",17,44,13,"2,068",17,"1,901",11,9,17,281,0,0,14
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96114,"1,223","2,932",959,"68,403","1,022","53,387",773,807,"1,009","6,595",221,48,598
"Under $10,000        ",170,241,43,685,122,646,50,32,56,20,26,*         ,*         
"$10,000 under $25,000",200,361,94,"3,484",146,"2,199",87,162,139,133,28,15,42
"$25,000 under $50,000",260,551,149,"9,622",208,"7,103",158,181,233,601,49,*         ,100
"$50,000 under $75,000",239,664,233,"15,180",215,"12,280",178,139,231,"1,186",41,11,147
"$75,000 under $100,000",181,595,255,"15,682",172,"13,883",149,63,177,"1,353",41,10,151
"$100,000 or more     ",173,520,185,"23,750",159,"17,276",151,230,173,"3,302",36,12,158
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96115,50,98,15,"1,280",31,906,19,9,36,96,13,10,10
"Under $10,000        ",15,23,3,-33,12,145,*         ,*              ,12,7,*         ,10,0
"$10,000 under $25,000",11,24,4,220,*         ,*              ,*         ,*              ,*         ,*              ,13,*         ,0
"$25,000 under $50,000",24,51,8,"1,093",19,761,19,9,24,89,*         ,*         ,10
"$50,000 under $75,000",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*         ,*         
"$75,000 under $100,000",0,0,0,0,0,0,0,0,0,0,0,0,0
"$100,000 or more     ",0,0,0,0,0,0,0,0,0,0,0,0,0
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96116,83,165,41,"2,644",59,"1,002",32,41,52,305,10,*         ,*         
"Under $10,000        ",22,33,6,-95,13,64,*         ,*              ,*         ,*              ,10,0,0
"$10,000 under $25,000",31,68,23,549,27,449,20,24,24,17,*         ,0,*         
"$25,000 under $50,000",14,33,9,500,19,489,*         ,*              ,12,28,0,0,0
"$50,000 under $75,000",16,31,3,"1,690",*         ,*              ,12,17,16,260,0,*         ,*         
"$75,000 under $100,000",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,0,*         
"$100,000 or more     ",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,0,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96117,138,346,123,"6,155",116,"5,414",72,25,98,515,22,13,49
"Under $10,000        ",24,38,10,-13,18,158,14,4,*         ,*              ,*         ,*         ,0
"$10,000 under $25,000",25,49,15,422,17,310,*         ,*              ,19,17,*         ,13,*         
"$25,000 under $50,000",32,99,45,"1,134",26,928,19,9,23,49,22,*         ,*         
"$50,000 under $75,000",29,79,26,"1,817",28,"1,676",18,1,28,132,*         ,*         ,28
"$75,000 under $100,000",17,48,15,"1,440",16,"1,241",11,4,17,133,*         ,0,21
"$100,000 or more     ",11,33,12,"1,355",11,"1,101",10,7,11,184,*         ,0,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96118,663,"1,430",432,"26,749",550,"20,163",331,395,496,"2,320",99,16,242
"Under $10,000        ",116,173,39,347,88,466,32,8,30,7,11,0,*         
"$10,000 under $25,000",133,220,52,"2,197",96,"1,532",51,85,89,92,16,*         ,30
"$25,000 under $50,000",210,462,148,"7,837",176,"5,788",106,100,178,553,40,16,69
"$50,000 under $75,000",103,291,104,"6,358",94,"5,147",64,57,98,491,15,*         ,55
"$75,000 under $100,000",69,198,64,"5,905",66,"4,475",51,106,69,553,17,*         ,60
"$100,000 or more     ",32,86,25,"4,105",30,"2,755",27,39,32,624,*         ,0,28
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96119,20,51,23,452,11,134,*         ,*              ,*         ,*              ,*         ,*         ,0
"Under $10,000        ",*         ,*         ,*         ,*              ,11,134,*         ,*              ,0,0,0,*         ,0
"$10,000 under $25,000",20,51,23,452,*         ,*              ,0,0,*         ,*              ,0,0,0
"$25,000 under $50,000",*         ,*         ,*         ,*              ,0,0,*         ,*              ,0,0,0,0,0
"$50,000 under $75,000",*         ,*         ,*         ,*              ,*         ,*              ,0,0,*         ,*              ,0,0,0
"$75,000 under $100,000",0,0,0,0,0,0,0,0,0,0,0,0,0
"$100,000 or more     ",0,0,0,0,0,0,0,0,0,0,0,0,0
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96120,382,781,231,"23,210",300,"12,185",179,349,282,"2,745",89,*         ,145
"Under $10,000        ",91,137,37,368,74,354,14,8,25,9,16,0,*         
"$10,000 under $25,000",71,116,32,"1,162",47,740,26,38,55,60,16,0,11
"$25,000 under $50,000",75,169,61,"2,748",63,"1,993",28,43,58,180,14,0,25
"$50,000 under $75,000",55,126,33,"3,355",42,"2,135",38,56,54,273,14,0,31
"$75,000 under $100,000",49,132,40,"4,199",45,"3,153",36,52,49,396,15,*         ,42
"$100,000 or more     ",41,101,28,"11,378",29,"3,810",37,152,41,"1,827",14,*         ,36
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96121,184,392,109,"8,952",137,"6,041",111,81,155,879,20,10,62
"Under $10,000        ",29,45,10,-53,17,81,11,2,11,5,10,10,0
"$10,000 under $25,000",36,58,15,627,26,414,15,8,29,26,*         ,*         ,12
"$25,000 under $50,000",38,85,27,"1,405",30,948,22,12,34,86,*         ,*         ,*         
"$50,000 under $75,000",38,92,24,"2,335",25,"1,345",31,40,38,200,10,*         ,18
"$75,000 under $100,000",26,76,28,"2,217",23,"1,718",18,3,26,219,*         ,0,18
"$100,000 or more     ",17,36,5,"2,421",16,"1,535",14,16,17,343,*         ,*         ,14
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96122,"1,786","3,820","1,178","80,720","1,402","48,591",810,"1,813","1,346","8,624",383,*         ,585
"Under $10,000        ",342,486,104,837,257,"1,403",93,66,107,38,68,*         ,15
"$10,000 under $25,000",439,828,255,"7,397",332,"4,900",130,187,298,288,71,0,47
"$25,000 under $50,000",451,"1,047",362,"16,565",357,"11,439",195,315,394,"1,124",100,*         ,138
"$50,000 under $75,000",273,707,228,"16,719",220,"11,464",165,337,266,"1,497",63,0,161
"$75,000 under $100,000",137,365,112,"11,691",124,"8,582",103,154,137,"1,272",38,*         ,97
"$100,000 or more     ",144,387,117,"27,511",112,"10,803",124,754,144,"4,405",43,0,127
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96123,24,51,19,438,12,233,*         ,*              ,10,11,*         ,*         ,*         
"Under $10,000        ",10,20,8,46,12,233,*         ,*              ,10,11,*         ,*         ,0
"$10,000 under $25,000",14,31,11,392,*         ,*              ,*         ,*              ,*         ,*              ,0,0,0
"$25,000 under $50,000",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,0,*         ,*         
"$50,000 under $75,000",*         ,*         ,*         ,*              ,0,0,0,0,0,0,0,0,0
"$75,000 under $100,000",0,0,0,0,0,0,0,0,0,0,0,0,0
"$100,000 or more     ",0,0,0,0,0,0,0,0,0,0,0,0,0
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96124,141,255,51,"7,007",100,"3,844",81,82,121,863,39,*         ,71
"Under $10,000        ",13,20,5,37,*         ,*              ,*         ,*              ,*         ,*              ,*         ,0,0
"$10,000 under $25,000",40,60,9,726,33,466,24,25,37,41,17,0,13
"$25,000 under $50,000",38,68,14,"1,370",31,931,16,5,36,121,12,0,23
"$50,000 under $75,000",21,44,11,"1,258",16,904,18,9,19,115,10,0,11
"$75,000 under $100,000",15,36,9,"1,281",20,"1,543",11,6,15,146,*         ,0,12
"$100,000 or more     ",14,27,3,"2,335",*         ,*              ,12,37,14,440,*         ,*         ,12
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96125,135,238,35,"5,496",93,"2,698",80,146,108,631,37,0,44
"Under $10,000        ",30,39,2,-45,18,82,12,4,13,9,*         ,0,*         
"$10,000 under $25,000",29,50,10,471,21,274,13,7,19,23,20,0,*         
"$25,000 under $50,000",35,58,6,"1,239",23,437,25,75,35,104,*         ,0,17
"$50,000 under $75,000",27,62,15,"1,871",17,872,17,18,27,192,17,0,15
"$75,000 under $100,000",*         ,*         ,*         ,*              ,14,"1,033",*         ,*              ,*         ,*              ,*         ,0,0
"$100,000 or more     ",14,29,2,"1,960",*         ,*              ,13,42,14,303,*         ,0,12
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96126,155,296,72,"6,270",120,"4,099",85,152,126,595,38,*         ,46
"Under $10,000        ",28,37,5,56,21,106,10,4,11,3,*         ,*         ,0
"$10,000 under $25,000",31,52,13,512,20,280,15,45,22,19,*         ,0,*         
"$25,000 under $50,000",47,85,22,"1,708",34,952,25,28,44,159,22,*         ,17
"$50,000 under $75,000",27,65,16,"1,638",25,"1,305",25,12,27,156,16,*         ,13
"$75,000 under $100,000",11,31,10,957,20,"1,456",*         ,*              ,11,96,*         ,0,16
"$100,000 or more     ",11,26,6,"1,399",*         ,*              ,10,63,11,162,*         ,0,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96127,273,577,186,"13,295",244,"11,952",114,30,216,"1,338",38,*         ,110
"Under $10,000        ",50,58,5,267,37,217,*         ,*              ,16,6,*         ,0,*         
"$10,000 under $25,000",51,92,30,849,42,674,19,7,37,41,26,*         ,*         
"$25,000 under $50,000",54,118,45,"2,008",50,"1,884",17,2,47,126,*         ,*         ,24
"$50,000 under $75,000",53,132,47,"3,370",52,"3,297",34,6,52,304,12,*         ,29
"$75,000 under $100,000",32,92,37,"2,803",31,"2,446",22,7,31,296,*         ,0,28
"$100,000 or more     ",33,85,22,"3,998",32,"3,434",22,8,33,565,*         ,*         ,29
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96128,270,627,202,"12,797",233,"11,203",125,62,204,"1,118",29,34,97
"Under $10,000        ",42,58,6,167,30,233,*         ,*              ,13,4,*         ,*         ,10
"$10,000 under $25,000",46,86,26,744,35,487,25,5,27,19,18,*         ,*         
"$25,000 under $50,000",88,201,66,"3,207",78,"2,604",33,21,71,193,*         ,16,20
"$50,000 under $75,000",32,86,26,"1,979",31,"2,034",19,3,31,153,11,18,19
"$75,000 under $100,000",31,94,36,"2,671",31,"2,341",20,1,31,267,*         ,*         ,22
"$100,000 or more     ",31,102,42,"4,029",28,"3,504",28,32,31,482,0,*         ,26
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96129,95,207,70,"4,045",60,"1,868",42,25,70,375,27,*         ,32
"Under $10,000        ",21,28,4,42,12,40,*         ,*              ,*         ,*              ,13,0,0
"$10,000 under $25,000",21,38,12,402,11,159,14,10,20,25,*         ,0,*         
"$25,000 under $50,000",26,48,11,959,21,673,16,10,24,69,14,*         ,20
"$50,000 under $75,000",11,29,9,642,16,996,12,5,10,44,*         ,0,*         
"$75,000 under $100,000",16,64,34,"2,000",*         ,*              ,*         ,*              ,16,237,*         ,*         ,12
"$100,000 or more     ",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,0,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96130,"5,719","12,803","4,312","269,354","4,863","209,844","2,902","3,897","4,438","26,690",878,63,"2,185"
"Under $10,000        ",979,"1,478",384,"2,800",773,"4,366",240,363,302,117,107,16,34
"$10,000 under $25,000","1,237","2,242",702,"21,378",979,"15,526",371,589,855,884,148,*         ,148
"$25,000 under $50,000","1,296","2,828",955,"47,334","1,098","36,814",614,630,"1,106","3,068",199,15,401
"$50,000 under $75,000",938,"2,489",892,"58,484",827,"46,298",618,745,907,"4,967",171,22,544
"$75,000 under $100,000",719,"2,164",835,"62,061",678,"52,815",580,614,718,"5,940",129,*         ,566
"$100,000 or more     ",550,"1,602",544,"77,297",508,"54,025",479,956,550,"11,714",124,10,492
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96132,14,25,5,235,*         ,*              ,*         ,*              ,*         ,*              ,*         ,0,0
"Under $10,000        ",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,0,0,0,0,0
"$10,000 under $25,000",14,25,5,235,*         ,*              ,0,0,*         ,*              ,*         ,0,0
"$25,000 under $50,000",*         ,*         ,*         ,*              ,*         ,*              ,0,0,*         ,*              ,*         ,0,0
"$50,000 under $75,000",0,0,0,0,0,0,0,0,0,0,0,0,0
"$75,000 under $100,000",0,0,0,0,0,0,0,0,0,0,0,0,0
"$100,000 or more     ",0,0,0,0,0,0,0,0,0,0,0,0,0
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96133,50,89,18,"1,496",36,865,25,8,33,103,*         ,*         ,*         
"Under $10,000        ",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,0,0
"$10,000 under $25,000",27,45,12,358,18,240,*         ,*              ,11,16,*         ,0,*         
"$25,000 under $50,000",23,44,6,"1,138",18,625,25,8,22,87,*         ,*         ,*         
